곡,아티스트,앨범
EASY,LE SSERAFIM (르세라핌),EASY
홀씨,아이유(IU),The Winning
"Smoke (Prod. Dynamicduo, Padi)","다이나믹 듀오
다이나믹 듀오",스트릿 우먼 파이터2(SWF2) 계급미션
Summer (Feat. BE’O (비오)),Paul Blanco,Summer
새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션)
봄날,방탄소년단,YOU NEVER WALK ALONE
TAP,태용 (TAEYONG),TAP - The 2nd Mini Album
AK47,Men's Tear(맨스티어),AK47
Shut Down,BLACKPINK,BORN PINK
Return,고요,Return
Pink Venom,BLACKPINK,BORN PINK
Noon,Choi min,Fire
아무노래,지코 (ZICO),아무노래
ICE,Lil Patekk,P'S TIME
That's rip,Davi beats,Tell me how
For real,Jay Free,Come wit me
Too many blames,Master ECP,Sniper
Hustle all my life,VVS karim,Hustle all my life
You and me(feat.Ella),DJ Escobic,Slow house
Platinum,Poss B,Die legend
새로워,VVS karim,Busy man
air porche (feat.Jaws),SCOLE,SQUALL
Necklace,Lil Patekk,Go hard
Money Problem (Feat. wyay),Yunebee,Trap P!nk
I PULL UP,Lil Patekk,PULL UP
SHOUT OUT(SHOUT OUT),Dgboi,The crown
Always Scheming,John Doe,Who is 'John Doe'? Vol.1
창,John Doe,Deep
LOVE me,BE'O (비오),LOVE me
거리에서 (Feat. ASH ISLAND),릴러말즈 (Leellamarz),거리에서
"Rainy day (Feat. ASH ISLAND, Skinny Brown)",PATEKO (파테코),Rainy day
Soulseeker,John Doe,Who is 'John Doe'? Vol.1
"작업 (feat. Loopy, pH-1)",오왼(Owen),P.O.E.M. Remastered
Namu wiki,DJ Escobic,Five colors
속쓰려,Poss B,Die legend
Neo,John Doe,NEW ICE
Nobody,VVS karim,Hustle all my life
Bag,Lil Patekk,P'S TIME
Never,John Doe,NEW ICE
YXES,John Doe,Who is 'John Doe'? Vol.1
Pop that champagne,Lil Patekk,Go hard
ICE MASTER(ICE MASTER),Dgboi,The crown
refresh,amond alive,Rising star
비도 오고 그래서 (Feat. 신용재),헤이즈(Heize),/// (너 먹구름 비)
어땠을까 (feat. 박정현),싸이 (PSY),싸이6甲 Part.1
Seoul (Feat. wyay),Yunebee,Trap P!nk
Tell me how,Davi beats,Tell me how
West coast baby,DJ Escobic,Pesco
Put in work,Logixx,Work everyday
The citi,Lil Patekk,Go hard
I got you back,VVS karim,Busy man
heart,John Doe,NEW ICE
Fantasy movie,DJ Escobic,Pesco
2 many opps,Lil Patekk,P'S TIME
삐삐,아이유(IU),삐삐
우리 영화,PLAVE,ASTERUM : 134-1
Wake Up,Yunebee,Wake Up
Lairs,Yunebee,Trap P!nk
자격지심 (Feat. ZICO),BE'O (비오),FIVE SENSES
Be slime,Jay Free,Come wit me
Original,VVS karim,Hustle all my life
Alright(feat.Ella),DJ Escobic,Slow house
내 기쁨은 너가 벤틀리를 끄는 거야,김승민,PROTOTYPE RESEARCH #0063
fully da tag,amond alive,Rising star
Little Baby (Feat. VSjin),Choi min,Fire
Breath,John Doe,NEW ICE
Where we go,Davi beats,Tell me how
Time,DJ Escobic,Five colors
일타강사,Poss B,Die legend
특,Stray Kids (스트레이 키즈),★★★★★ (5-STAR)
다들어와(다들어와),Dgboi,The crown
OHAYO MY NIGHT,"디핵(D-Hack)
디핵(D-Hack)",OHAYO MY NIGHT
DUCK,Lil Patekk,DUCK
METEOR,창모(CHANGMO),Boyhood
Die Legend,Poss B,Die legend
NET,John Doe,Who is 'John Doe'? Vol.1
Logixx freestyle,Logixx,Work everyday
Hip Hop,오왼(Owen),P.O.E.M. Remastered
"이쁜 여자가 좋더라 (Feat. Gist, Jayci yucca)",릴러말즈 (Leellamarz),인생은 한번이야
LTS,부현석,LTS
하루하루,BIGBANG (빅뱅),Stand Up (2008 빅뱅 3rd Mini Album)
Y (Please Tell Me Why),프리스타일(Free Style),Freestyle 3
NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,쇼미더머니 11 Episode 3
어떻게 지내 (Prod. By VAN.C),오반,어떻게 지내
HOT,세븐틴(SEVENTEEN),SEVENTEEN 4th Album 'Face the Sun'
CAKE,ITZY (있지),KILL MY DOUBT
Trip (Feat. Hannah),릴러말즈 (Leellamarz),Trip
Officially Missing You,긱스(Geeks),Officially Missing You
너에게 쓰는 편지,MC몽,180 Degree
붉은 노을,BIGBANG (빅뱅),Remember
죽일 놈 (Guilty),다이나믹 듀오,Band Of Dynamic Brothers
Ballerino (발레리노) (Feat. Ali),리쌍(Leessang),Black Sun
뒷담화,VVS karim,Busy man
Drip in here,Lil Patekk,P'S TIME
우산 (feat. 윤하),에픽하이 (EPIK HIGH),Breakdown
버추얼 아이돌,PLAVE,ASTERUM : 134-1
거짓말,BIGBANG (빅뱅),Always
죽을 만큼 아파서 (feat. 멜로우),MC몽,Blue Brand 2집 - Trauma Part.2
MY BAG,(여자)아이들,I NEVER DIE
작별인사 (Feat. Paul Blanco),ASH ISLAND,ROSE
